,sura_num,sura_name,sura_hisab,sura_ayat
0,1,بسم الله الرحمن الرحيم,10143,786
1,1,الحمد لله رب العلمين,10143,581
2,1,الرحمن الرحيم,10143,618
3,1,ملك يوم الدين,10143,241
4,1,إياك نعبد وإياك نستعين,10143,836
5,1,اهدنا الصرط المستقيم,10143,1072
6,1,صرط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,10143,6009
0,2,الم,1824035,71
1,2,ذلك الكتب لا ريب فيه هدى للمتقين,1824035,2220
2,2,الذين يؤمنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون,1824035,3162
3,2,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالءاخرة هم يوقنون,1824035,2636
4,2,أولئك على هدى من ربهم وأولئك هم المفلحون,1824035,878
5,2,إن الذين كفروا سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون,1824035,4463
6,2,ختم الله على قلوبهم وعلى سمعهم وعلى أبصرهم غشوة ولهم عذاب عظيم,1824035,5369
7,2,ومن الناس من يقول ءامنا بالله وباليوم الءاخر وما هم بمؤمنين,1824035,1848
8,2,يخدعون الله والذين ءامنوا وما يخدعون إلا أنفسهم وما يشعرون,1824035,3440
9,2,فى قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,1824035,4401
10,2,وإذا قيل لهم لا تفسدوا فى الأرض قالوا إنما نحن مصلحون,1824035,3189
11,2,ألا إنهم هم المفسدون ولكن لا يشعرون,1824035,1217
12,2,وإذا قيل لهم ءامنوا كما ءامن الناس قالوا أنؤمن كما ءامن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,1824035,2622
13,2,وإذا لقوا الذين ءامنوا قالوا ءامنا وإذا خلوا إلى شيطينهم قالوا إنا معكم إنما نحن مستهزءون,1824035,4905
14,2,الله يستهزئ بهم ويمدهم فى طغينهم يعمهون,1824035,2086
15,2,أولئك الذين اشتروا الضللة بالهدى فما ربحت تجرتهم وما كانوا مهتدين,1824035,5118
16,2,مثلهم كمثل الذى استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم فى ظلمت لا يبصرون,1824035,7809
17,2,صم بكم عمى فهم لا يرجعون,1824035,807
18,2,أو كصيب من السماء فيه ظلمت ورعد وبرق يجعلون أصبعهم فى ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين,1824035,5974
19,2,يكاد البرق يخطف أبصرهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصرهم إن الله على كل شىء قدير,1824035,7408
20,2,يأيها الناس اعبدوا ربكم الذى خلقكم والذين من قبلكم لعلكم تتقون,1824035,4271
21,2,الذى جعل لكم الأرض فرشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرت رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,1824035,7489
22,2,وإن كنتم فى ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صدقين,1824035,4241
23,2,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التى وقودها الناس والحجارة أعدت للكفرين,1824035,4185
24,2,وبشر الذين ءامنوا وعملوا الصلحت أن لهم جنت تجرى من تحتها الأنهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذى رزقنا من قبل وأتوا به متشبها ولهم فيها أزوج مطهرة وهم فيها خلدون,1824035,10761
25,2,إن الله لا يستحى أن يضرب مثلا ما بعوضة فما فوقها فأما الذين ءامنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدى به كثيرا وما يضل به إلا الفسقين,1824035,12666
26,2,الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما أمر الله به أن يوصل ويفسدون فى الأرض أولئك هم الخسرون,1824035,5954
27,2,كيف تكفرون بالله وكنتم أموتا فأحيكم ثم يميتكم ثم يحييكم ثم إليه ترجعون,1824035,5070
28,2,هو الذى خلق لكم ما فى الأرض جميعا ثم استوى إلى السماء فسوىهن سبع سموت وهو بكل شىء عليم,1824035,5429
